event_id,current_time,event_starttimestamp,event_state,outcome_home,outcome_draw,outcome_away,outcome_unexpectedOddsTrend,outcome_startingOdds,event_home_score,event_away_score,event_time
1006103903,2020-01-30T17:54:01Z,2020-01-30T16:31:42Z,STARTED,50/1,9/1,1/18,False,7/25,0,1,64
1006105984,2020-01-30T17:54:01Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T17:54:01Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,80/1,False,3/10,2,0,23
1006107245,2020-01-30T17:54:01Z,2020-01-30T17:31:05Z,STARTED,22/25,27/10,5/2,False,5/6,1,1,22
1006107510,2020-01-30T17:54:01Z,2020-01-30T17:33:52Z,STARTED,7/10,27/10,13/4,False,9/10,0,0,20
1006042012,2020-01-30T17:54:01Z,2020-01-30T17:34:41Z,STARTED,3/10,7/2,9/1,False,11/10,1,0,19
1006049983,2020-01-30T17:54:29Z,2020-01-30T16:08:06Z,STARTED,8/5,4/7,23/2,True,1/6,1,1,82
1006105979,2020-01-30T17:54:29Z,2020-01-30T16:11:35Z,STARTED,,180/1,1000/1,False,4/11,4,1,85
1006103903,2020-01-30T17:54:29Z,2020-01-30T16:31:42Z,STARTED,50/1,9/1,1/18,False,7/25,0,1,64
1006105984,2020-01-30T17:54:29Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T17:54:29Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,80/1,False,3/10,2,0,23
1006107245,2020-01-30T17:54:29Z,2020-01-30T17:31:05Z,STARTED,22/25,27/10,5/2,False,5/6,1,1,23
1006107510,2020-01-30T17:54:29Z,2020-01-30T17:33:52Z,STARTED,3/4,13/5,3/1,False,9/10,0,0,20
1006042012,2020-01-30T17:54:29Z,2020-01-30T17:34:41Z,STARTED,3/10,17/5,17/2,False,11/10,1,0,19
1006049983,2020-01-30T17:54:56Z,2020-01-30T16:08:06Z,STARTED,17/10,4/7,23/2,,,1,1,82
1006105979,2020-01-30T17:54:56Z,2020-01-30T16:11:35Z,STARTED,,180/1,1000/1,,,4,1,86
1006103903,2020-01-30T17:54:56Z,2020-01-30T16:31:42Z,STARTED,66/1,9/1,1/18,,,0,1,65
1006105984,2020-01-30T17:54:56Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T17:54:56Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,80/1,False,3/10,2,0,24
1006107245,2020-01-30T17:54:56Z,2020-01-30T17:31:05Z,STARTED,22/25,27/10,5/2,False,5/6,1,1,23
1006107510,2020-01-30T17:54:56Z,2020-01-30T17:33:52Z,STARTED,3/4,13/5,3/1,False,9/10,0,0,21
1006042012,2020-01-30T17:54:56Z,2020-01-30T17:34:41Z,STARTED,3/10,17/5,17/2,False,11/10,1,0,20
