event_id,current_time,event_starttimestamp,event_state,outcome_home,outcome_draw,outcome_away,outcome_unexpectedOddsTrend,outcome_startingOdds,event_home_score,event_away_score,event_time
1006080818,2020-02-04T22:43:43Z,2020-02-04T20:47:30Z,STARTED,40.0,0.05,12.0,True,21/50,1,1,93
1006102183,2020-02-04T22:43:43Z,2020-02-04T21:00:37Z,STARTED,14.0,0.22,3.75,False,6/5,0,0,85
1006052170,2020-02-04T22:43:43Z,2020-02-04T22:18:25Z,STARTED,0.75,1.8,5.0,False,13/25,0,0,28
1006052171,2020-02-04T22:43:43Z,2020-02-04T22:19:02Z,STARTED,4.25,2.75,0.5714285714285714,True,10/11,0,1,27
1006115064,2020-02-04T22:43:43Z,2020-02-04T22:19:54Z,STARTED,0.2222222222222222,4.4,9.5,False,3/5,1,0,26
1006080818,2020-02-04T22:43:43Z,2020-02-04T20:47:30Z,STARTED,40.0,0.05,12.0,True,21/50,1,1,93
1006102183,2020-02-04T22:43:43Z,2020-02-04T21:00:37Z,STARTED,14.0,0.22,3.75,False,6/5,0,0,85
1006052170,2020-02-04T22:43:43Z,2020-02-04T22:18:25Z,STARTED,0.75,1.8,5.0,False,13/25,0,0,28
1006052171,2020-02-04T22:43:43Z,2020-02-04T22:19:02Z,STARTED,4.25,2.75,0.5714285714285714,True,10/11,0,1,27
1006115064,2020-02-04T22:43:43Z,2020-02-04T22:19:54Z,STARTED,0.2222222222222222,4.4,9.5,False,3/5,1,0,26
1006080818,2020-02-04T22:44:11Z,2020-02-04T20:47:30Z,STARTED,40.0,0.025,14.0,True,21/50,1,1,93
1006102183,2020-02-04T22:44:11Z,2020-02-04T21:00:37Z,STARTED,14.0,0.22,4.0,False,6/5,0,0,85
1006052170,2020-02-04T22:44:11Z,2020-02-04T22:18:25Z,STARTED,0.75,1.8,5.0,False,13/25,0,0,28
1006052171,2020-02-04T22:44:11Z,2020-02-04T22:19:02Z,STARTED,4.25,2.75,0.5714285714285714,True,10/11,0,1,28
1006115064,2020-02-04T22:44:11Z,2020-02-04T22:19:54Z,STARTED,0.2222222222222222,4.4,9.5,False,3/5,1,0,26
1006080818,2020-02-04T22:44:11Z,2020-02-04T20:47:30Z,STARTED,0,0,0,,,1,1,93
1006102183,2020-02-04T22:44:11Z,2020-02-04T21:00:37Z,STARTED,14.0,0.22,4.0,False,6/5,0,0,85
1006052170,2020-02-04T22:44:11Z,2020-02-04T22:18:25Z,STARTED,0.75,1.8,5.0,False,13/25,0,0,29
1006052171,2020-02-04T22:44:11Z,2020-02-04T22:19:02Z,STARTED,4.25,2.75,0.5714285714285714,True,10/11,0,1,28
1006115064,2020-02-04T22:44:11Z,2020-02-04T22:19:54Z,STARTED,0.2222222222222222,4.4,9.5,False,3/5,1,0,27
